SourceMacAddress,DestinationMacAddress,SourceIPAddress,DestinationIPAddress,SourcePortNo.,DestinationPortNo.
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,60852,53,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,51159,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,51159,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,60852,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,36161,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.40.15,50737,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.40.15,50737,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,49020,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,49020,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,34007,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,34007,53,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,34007,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,34007,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,36161,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,60852,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,36161,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,51159,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,52294,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,52294,53,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,52294,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,52294,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.166.163,44805,80,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.217.166.163,10.0.2.15,80,44805,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.166.163,44805,80,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.166.163,44805,80,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.217.166.163,10.0.2.15,80,44805,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.166.163,44805,80,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.217.166.163,10.0.2.15,80,44805,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.217.166.163,10.0.2.15,80,44805,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.166.163,44805,80,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,49020,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,54335,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,54335,53,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,54335,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,54335,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.167.163,35869,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.217.167.163,10.0.2.15,443,35869,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.167.163,35869,443,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.167.163,35869,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.217.167.163,10.0.2.15,443,35869,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,55124,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,55124,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,51497,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,51497,53,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,55124,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,55124,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,51497,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,51497,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.160.163,42885,443,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.166.33,58304,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.217.160.163,10.0.2.15,443,42885,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.160.163,42885,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.217.166.33,10.0.2.15,443,58304,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.166.33,58304,443,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.166.33,58304,443,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.160.163,42885,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.217.166.33,10.0.2.15,443,58304,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.217.160.163,10.0.2.15,443,42885,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,50106,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,50106,53,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.217.167.163,10.0.2.15,443,35869,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.167.163,35869,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.217.167.163,10.0.2.15,443,35869,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.167.163,35869,443,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.167.163,35869,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.217.167.163,10.0.2.15,443,35869,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.217.167.163,10.0.2.15,443,35869,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.167.163,35869,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.217.166.33,10.0.2.15,443,58304,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.166.33,58304,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.217.166.33,10.0.2.15,443,58304,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.166.33,58304,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.217.166.33,10.0.2.15,443,58304,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.166.33,58304,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.217.160.163,10.0.2.15,443,42885,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.160.163,42885,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.217.160.163,10.0.2.15,443,42885,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.160.163,42885,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.217.160.163,10.0.2.15,443,42885,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.160.163,42885,443,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.166.33,58304,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.217.166.33,10.0.2.15,443,58304,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.160.163,42885,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.217.160.163,10.0.2.15,443,42885,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,49020,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.217.166.33,10.0.2.15,443,58304,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.166.33,58304,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.217.166.33,10.0.2.15,443,58304,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.166.33,58304,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
52:54:0:12:35:2,8:0:27:30:b2:8f,216.58.203.164,10.0.2.15,443,43133,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,216.58.203.164,43133,443,
